"Story","Title","Result","Date","Stability","Duration (s)"
"Product CURD test","This will create new product","ERROR","2023-01-02T00:24:59.680Z[Europe/London]","0.0","8.0"
"Product CURD test","Verify if the product was added to application","ERROR","2023-01-02T00:25:07.799Z[Europe/London]","0.0","4.15"
"Product CURD test","This will update product","ERROR","2023-01-02T00:25:11.947Z[Europe/London]","0.0","4.16"
"Product CURD test","This will delete product","ERROR","2023-01-02T00:25:16.112Z[Europe/London]","0.0","4.12"
"Store CURD test","This will create new store","ERROR","2023-01-02T00:25:22.876Z[Europe/London]","0.0","4.17"
"Store CURD test","Verify if the store has been added to application","ERROR","2023-01-02T00:25:27.048Z[Europe/London]","0.0","4.11"
"Store CURD test","This will update store information","ERROR","2023-01-02T00:25:31.160Z[Europe/London]","0.0","4.11"
"Store CURD test","This will delete Store","ERROR","2023-01-02T00:25:35.277Z[Europe/London]","0.0","4.15"
